SID;NAME
1;Abbesses
2;Alesia
3;Alexandre Dumas
4;Alma-Marceau
5;Anatole France
6;Anvers
7;Argentine
8;Arts et Metiers
9;Asnieres – Gennevilliers – Les Courtilles
10;Assemblee Nationale
11;Aubervilliers - Pantin - Quatre Chemins
12;Avenue Emile Zola
13;Avron
14;Balard
15;Barbes - Rochechouart
16;Basilique de Saint-Denis
17;Bastille
18;Bel-Air
19;Belleville
20;Berault
21;Bercy
22;Bibliotheque Francois Mitterrand
23;Billancourt
24;Bir-Hakeim
25;Blanche
26;Bobigny - Pablo Picasso
27;Bobigny-Pantin (Raymond Queneau)
28;Boissiere
29;Bolivar
30;Bonne Nouvelle
31;Botzaris
32;Boucicaut
33;Boulogne - Jean Jaures
34;Boulogne - Pont de Saint-Cloud
35;Bourse
36;Breguet-Sabin
37;Brochant
38;Buttes Chaumont
39;Buzenval
40;Cadet
41;Cambronne
42;Campo-Formio
43;Cardinal Lemoine
44;Carrefour Pleyel
45;Censier - Daubenton
46;Champs-Elysees - Clemenceau
47;Chardon Lagache
48;Charenton-Ecoles
49;Charles de Gaulle — Etoile
50;Charles Michels
51;Charonne
52;Chateau de Vincennes
53;Chateau d'Eau
54;Chateau Landon
55;Chateau Rouge
56;Chatelet
57;Chatillon-Montrouge
58;Chaussee d'Antin - La Fayette
59;Chemin Vert
60;Chevaleret
61;Cite
62;Cluny- La Sorbonne
63;Colonel Fabien
64;Commerce
65;Concorde
66;Convention
67;Corentin Cariou
68;Corentin Celton
69;Corvisart
70;Cour Saint-Emilion
71;Courcelles
72;Couronnes
73;Creteil — L'Echat (Hopital Henri Mondor)
74;Creteil — Pointe du Lac
75;Creteil — Prefecture (Hotel de Ville)
76;Creteil Universite
77;Crimee
78;Croix de Chavaux
79;Danube
80;Daumesnil
81;Denfert-Rochereau
82;Dugommier
83;Dupleix
84;Duroc
85;Ecole Militaire
86;Ecole Veterinaire de Maisons-Alfort
87;Edgar Quinet
88;Eglise d'Auteuil
89;Eglise de Pantin
90;Esplanade de La Defense
91;Etienne Marcel
92;Europe
93;Exelmans
94;Faidherbe — Chaligny
95;Falguiere
96;Felix Faure
97;Filles du Calvaire
98;Fort d'Aubervilliers
99;Franklin D. Roosevelt
100;Front Populaire
101;Gabriel Peri
102;Gaite
103;Gallieni
104;Gambetta
105;Gare d'Austerlitz
106;Gare de L'Est
107;Gare de Lyon
108;Gare du Nord (Metro ligne 4)
109;Gare du Nord (Metro ligne 5)
110;Garibaldi
111;George V
112;Glaciere
113;Goncourt
114;Grands Boulevards
115;Guy Moquet
116;Havre - Caumartin
117;Hoche
118;Hotel de Ville
119;Iena
120;Invalides
121;Jacques Bonsergent
122;Jasmin
123;Jaures
124;Javel - Andre Citroen
125;Jourdain
126;Jules Joffrin
127;Jussieu
128;Kleber
129;La Chapelle
130;La Courneuve - 8 mai 1945
131;La Defense - Grande Arche
132;La Fourche
133;La Motte-Picquet - Grenelle
134;La Muette
135;La Tour Maubourg
136;Lamarck - Caulaincourt
137;Laumiere
138;Le Peletier
139;Ledru-Rollin
140;Les Agnettes
141;Les Gobelins
142;Les Halles
143;Les Sablons
144;Liberte
145;Liege
146;Louis Blanc
147;Louise Michel
148;Lourmel
149;Louvre — Rivoli
150;M7 Le Kremlin-Bicetre RATP
151;Mabillon
152;Madeleine
153;Mairie de Clichy
154;Mairie de Montreuil
155;Mairie de Montrouge
156;Mairie de Saint-Ouen
157;Mairie des Lilas
158;Mairie d'Issy
159;Mairie d'Ivry
160;Maison Blanche
161;Maisons-Alfort — Les Juilliottes
162;Maisons-Alfort — Stade
163;Malakoff - Plateau de Vanves
164;Malakoff - Rue Etienne Dolet
165;Malesherbes
166;Maraichers
167;Marcadet - Poissonniers
168;Marcel Sembat
169;Marx Dormoy
170;Maubert Mutualite
171;Menilmontant
172;Michel Bizot
173;Michel-Ange - Auteuil
174;Michel-Ange - Molitor
175;Mirabeau
176;Miromesnil
177;Monceau
178;Montgallet
179;Montparnasse-Bienvenue
180;Mouton-Duvernet
181;Nation
182;Nationale
183;Notre-Dame de Lorette
184;Notre-Dame des Champs
185;Oberkampf
186;Odeon
187;Olympiades
188;Opera
189;Ourcq
190;Palais Royal - Musee du Louvre
191;Parmentier
192;Passy
193;Pasteur
194;Pelleport
195;Pere Lachaise
196;Pereire
197;Pernety
198;Philippe Auguste
199;Picpus
200;Pierre et Marie Curie
201;Pigalle
202;Place de Clichy
203;Place des Fetes
204;Place d'Italie
205;Place Monge
206;Plaisance
207;Poissonniere
208;Pont de Levallois – Becon
209;Pont de Neuilly
210;Pont de sevres
211;Pont Marie
212;Pont Neuf
213;Porte Dauphine
214;Porte d'Auteuil
215;Porte de Bagnolet
216;Porte de Champerret
217;Porte de Charenton
218;Porte de Choisy
219;Porte de Clignancourt
220;Porte de la Chapelle
221;Porte de la Villette
222;Porte de Montreuil
223;Porte de Pantin
224;Porte de Saint-Cloud
225;Porte de Saint-Ouen
226;Porte de Vanves
227;Porte de Versailles
228;Porte de Vincennes
229;Porte des Lilas
230;Porte d'Italie
231;Porte d'Ivry
232;Porte Doree
233;Porte d'Orleans
234;Porte Maillot
235;Pre Saint-Gervais
236;Pyramides
237;Pyrenees
238;Quai de la Gare
239;Quai de la Rapee
240;Quatre Septembre
241;Rambuteau
242;Ranelagh
243;Raspail
244;Reaumur - Sebastopol
245;Reaumur Sebastopol
246;Rennes
247;Republique
248;Reuilly — Diderot
249;Richard Lenoir
250;Richelieu Drouot
251;Riquet
252;Robespierre
253;Rome
254;Rue de la Pompe
255;Rue des Boulets
256;Rue du Bac
257;Rue Saint-Maur
258;Saint-Ambroise
259;Saint-Augustin
260;Saint-Denis - Porte de Paris
261;Saint-Denis - Universite
262;Saint-Fargeau
263;Saint-Francois-Xavier
264;Saint-Georges
265;Saint-Germain-des-Pres
266;Saint-Jacques
267;Saint-Lazare
268;Saint-Mande
269;Saint-Marcel
270;Saint-Michel
271;Saint-Paul
272;Saint-Philippe du Roule
273;Saint-Placide
274;Saint-Sebastien - Froissart
275;Saint-Sulpice
276;Segur
277;Sentier
278;Sevres-Babylone
279;Sevres-Lecourbe
280;Simplon
281;Solferino
282;Stalingrad
283;Strasbourg - Saint-Denis
284;Sully - Morland
285;Telegraphe
286;Temple
287;Ternes
288;Tolbiac
289;Trinite d'Estienne d'Orves
290;Trocadero
291;Tuileries
292;Vaneau
293;Varenne
294;Vaugirard
295;Vavin
296;Victor Hugo
297;Villejuif - Leo Lagrange
298;Villejuif - Paul Vaillant Couturier
299;Villejuif–Louis Aragon
300;Villiers
301;Volontaires
302;Voltaire
303;Wagram